category,sub_category,product_group,product_name,product_code,traded_contracts,traded_contracts_flexible,traded_contracts_month,traded_contracts_flexible_month,traded_contracts_year,traded_contracts_flexible_year,traded_contracts_avg_month,traded_contracts_avg_year,pc_ratio,open_interest_prev_day,volume_eur,volume_eur_month,volume_eur_year,open_interest_eur_prev_day,report_date
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,AMUNDI S.A.,AMUF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,BMW,BMWF,NaN,NaN,5600.0,NaN,62950.0,NaN,311.1111111111,777.1604938272,NaN,26550.0,NaN,4.458459E7,5.146244195E8,2.01352545E8,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,Continental,CONI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,Dassault Aviation SA,AVMF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,Ferrari NV,RACF,NaN,NaN,817.0,NaN,957.0,NaN,45.3888888889,11.8148148148,NaN,817.0,NaN,2.603288781E8,3.038769943E8,2.426369084E8,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,Ipsen SA,IPNF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,MERCEDES-BENZ GROUP AG,DAIG,2500.0,NaN,50100.0,NaN,270200.0,NaN,2783.3333333333,3335.8024691358,NaN,83850.0,1.2294125E7,2.55249441E8,1.4508262275E9,4.165574775E8,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,Michelin,MLXG,4500.0,NaN,4500.0,NaN,4500.0,NaN,250.0,55.5555555556,NaN,NaN,1.3835835E7,1.3835835E7,1.3835835E7,NaN,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,Nokian Renkaat,NREF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,PHY BMW AG,BMWP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2026-04-28
Equity Derivatives,Single Stock Futures,Futures on STOXX® Europe 600 Automobiles & Parts Components,PHY MERCEDES-BENZ GROUP AG,DAIP,NaN,NaN,5500.0,NaN,15620.0,4120.0,305.5555555556,192.8395061728,NaN,5500.0,NaN,2.7644375E7,8.62334133E7,2.732191E7,2026-04-28
